,datetime,site,geometry,SWE,SWE_units,MAX AIR TEMP,MAX AIR TEMP_units,PRECIPITATION,PRECIPITATION_units,datasource
125,1990-05-06 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),6.7,in,57.56,degF,0.0,in,NRCS
126,1990-05-07 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,54.68,degF,0.0,in,NRCS
127,1990-05-08 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.1,in,51.26,degF,0.0,in,NRCS
128,1990-05-09 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.1,in,42.62,degF,0.0,in,NRCS
129,1990-05-10 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.5,in,55.58,degF,0.0,in,NRCS
130,1990-05-11 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),3.7,in,39.38,degF,0.0,in,NRCS
131,1990-05-12 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),3.5,in,39.38,degF,0.1,in,NRCS
132,1990-05-13 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),3.6,in,49.82,degF,0.1,in,NRCS
133,1990-05-14 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.9,in,54.5,degF,0.0,in,NRCS
134,1990-05-15 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.3,in,43.7,degF,0.3,in,NRCS
135,1990-05-16 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.2,in,39.92,degF,0.1,in,NRCS
136,1990-05-17 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),1.8,in,53.78,degF,0.0,in,NRCS
137,1990-05-18 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),1.1,in,51.8,degF,0.0,in,NRCS
138,1990-05-19 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.7,in,52.16,degF,0.0,in,NRCS
139,1990-05-20 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.5,in,49.28,degF,0.0,in,NRCS
140,1990-05-21 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.2,in,60.26,degF,0.0,in,NRCS
141,1990-05-22 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,58.46,degF,0.0,in,NRCS
142,1990-05-23 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,66.02,degF,0.0,in,NRCS
143,1990-05-24 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,56.66,degF,0.0,in,NRCS
144,1990-05-25 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,60.8,degF,0.0,in,NRCS
145,1990-05-26 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,58.1,degF,0.0,in,NRCS
146,1990-05-27 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,61.16,degF,0.0,in,NRCS
147,1990-05-28 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,60.44,degF,0.1,in,NRCS
148,1990-05-29 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,40.64,degF,0.2,in,NRCS
149,1990-05-30 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,51.98,degF,0.0,in,NRCS
150,1990-05-31 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,61.16,degF,0.0,in,NRCS
151,1990-06-01 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,48.92,degF,0.1,in,NRCS
152,1990-06-02 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,52.52,degF,0.0,in,NRCS
153,1990-06-03 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,64.22,degF,0.0,in,NRCS
154,1990-06-04 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,46.22,degF,0.0,in,NRCS
155,1990-06-05 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,74.48,degF,0.0,in,NRCS
156,1990-06-06 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,72.68,degF,0.0,in,NRCS
157,1990-06-07 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,69.62,degF,0.0,in,NRCS
158,1990-06-08 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,71.96,degF,0.0,in,NRCS
159,1990-06-09 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,72.68,degF,0.1,in,NRCS
160,1990-06-10 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,60.26,degF,0.0,in,NRCS
161,1990-06-11 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,41.36,degF,0.1,in,NRCS
162,1990-06-12 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,58.82,degF,0.0,in,NRCS
163,1990-06-13 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,46.22,degF,0.0,in,NRCS
164,1990-06-14 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,70.52,degF,0.0,in,NRCS
165,1990-06-15 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,64.94,degF,0.0,in,NRCS
166,1990-06-16 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,61.16,degF,0.0,in,NRCS
167,1990-06-17 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,70.16,degF,0.0,in,NRCS
168,1990-06-18 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,77.54,degF,0.0,in,NRCS
169,1990-06-19 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,73.04,degF,0.0,in,NRCS
170,1990-06-20 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,70.88,degF,0.0,in,NRCS
171,1990-06-21 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,70.7,degF,0.0,in,NRCS
172,1990-06-22 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,75.02,degF,0.0,in,NRCS
173,1990-06-23 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,80.42,degF,0.0,in,NRCS
174,1990-06-24 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,78.26,degF,0.0,in,NRCS
175,1990-06-25 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,76.46,degF,0.0,in,NRCS
